Desktop File	App Name	Exec Command	Categories	Comment
org.xfce.Catfish.desktop	Catfish File Search	catfish %f	GNOME;GTK;Utility;	Search the file system
org.xfce.mousepad-settings.desktop	Text Editor Settings	mousepad --preferences	XFCE;GTK;Settings;DesktopSettings;X-XFCE-SettingsDialog;X-XFCE-PersonalSettings;	Configure the Mousepad text editor
org.xfce.mousepad.desktop	Mousepad	mousepad %U	Utility;TextEditor;GTK;	Simple Text Editor
powersave.desktop	Power Saver Mode	foot --app-id=dusky_tui /home/kshitij/user_scripts/battery/power_saver.sh -e	System;Settings;	Enable Power Saving Mode (Prompt)
powersave_off.desktop	Turn off Power Saver	foot --app-id=dusky_tui /home/kshitij/user_scripts/battery/power_saver.sh -d	System;Settings;	Reverses Power Saving Mode
process_terminator.desktop	Process Terminator	kitty --hold --class performance.sh -e /home/kshitij/user_scripts/performance/services_and_process_terminator.sh	System;Monitor;	Select and kill running processes
qemu.desktop	QEMU			
qt5ct.desktop	Qt5 Settings	qt5ct	Settings;DesktopSettings;Qt;	Qt5 Configuration Tool
qt6ct.desktop	Qt6 Settings	qt6ct	Settings;DesktopSettings;Qt;	Qt6 Configuration Tool
qv4l2.desktop	Qt V4L2 test Utility	qv4l2	AudioVideo;	Allow testing Video4Linux devices
qvidcap.desktop	Qt V4L2 video capture utility	qvidcap	AudioVideo;	Viewer for video capture
re.fossplant.songrec.desktop	SongRec	songrec gui %f	GTK;Audio;AudioVideo;	An open-source Shazam client for Linux, written in Rust
rofi-theme-selector.desktop	Rofi Theme Selector	rofi-theme-selector		
rofi.desktop	Rofi	rofi -show		
rofi_calculator.desktop	Rofi Calculator	/home/kshitij/user_scripts/rofi/calculator.sh	Settings;Theme;	Make Calculations right in Rofi
rofi_emoji.desktop	Rofi Emoji	/home/kshitij/user_scripts/rofi/emoji.sh	Settings;Theme;	Find an Emoji
rofi_wallpaper_selector.desktop	Rofi Wallaper	/home/kshitij/user_scripts/rofi/rofi_wallpaper_selctor.sh	Settings;Theme;	Switch/Change Wallpapers
rotate_screen_clockwise.desktop	Rotate Screen Clockwise	/home/kshitij/user_scripts/hypr/screen_rotate.sh -90	Settings;HardwareSettings;	Rotate display -90 degrees
rotate_screen_counter_clockwise.desktop	Rotate Screen Anti-Clockwise	/home/kshitij/user_scripts/hypr/screen_rotate.sh +90	Settings;HardwareSettings;	Rotate display +90 degrees
ryoku-nvim.desktop	Neovim	kitty -e nvim %F	Utility;TextEditor;Development;	Edit text files with Neovim in a terminal
ryomotion.desktop	Ryo Motion	ryomotion %U	AudioVideo;Video;Recorder;	Record your screen and turn it into a polished demo
ryostore.desktop	Ryostore	flock -n -o /tmp/ryostore.lock qs -c ryostore	Utility;Settings;	Discover and install Ryoku lockscreens, rices, bar styles, plugins and bundles
ryotunes.desktop	ryotunes	ryotunes	AudioVideo;Audio;Player;	YouTube Music as a focused Ryoku app, wired to the desktop now-playing widget
