google-chrome 152.0.7977.64-1
gperftools 2.18.1-1
gpgme 2.1.2-1
gpgmepp 2.1.0-1
gpk 0.5.8-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.5-1
gpu-screen-recorder 6.0.2-1
gpu-screen-recorder-notification 1.3.4-1
gpu-screen-recorder-ui 1.13.5-2
graphene 1.10.8-2
graphite 1:1.3.15-1
greetd 0.10.3-2
greetd-agreety 0.10.3-2
greetd-tuigreet 0.11.1-2
grep 3.12-2
grim 1.5.0-2
groff 1.24.1-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsm 1.0.24-1
gspell 1.14.4-1
gssdp 1.6.6-1
gssproxy 0.9.2-3
gst-libav 1.28.6-3
gst-plugin-gtk4 0.15.3-1
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad 1.28.6-3
gst-plugins-bad-libs 1.28.6-3
gst-plugins-base 1.28.6-3
gst-plugins-base-libs 1.28.6-3
gst-plugins-good 1.28.6-3
gst-plugins-ugly 1.28.6-3
gstreamer 1.28.6-3
gtest 1.18.0-1
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.22.0-2
gtkmm3 3.24.11-1
gtksourceview4 4.8.4-2
gtksourceview5 5.20.0-1
guile 3.0.11-1
gum 2.0.0-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.10-1
gupnp-dlna 0.12.0-5
gupnp-igd 1.6.0-2
gvfs 1.60.2-4
gvfs-afc 1.60.2-4
gvfs-dnssd 1.60.2-4
gvfs-gphoto2 1.60.2-4
gvfs-mtp 1.60.2-4
gvfs-nfs 1.60.2-4
gvfs-smb 1.60.2-4
gweather-locations 2026.2-1
gzip 1.14-2
harfbuzz 14.4.0-1
harfbuzz-icu 14.4.0-1
haskell-aeson 2.2.2.0-35
haskell-ansi-terminal 1.1-94
haskell-ansi-terminal-types 1.1-95
haskell-assoc 1.1.1-41
haskell-base-orphans 0.9.4-37
haskell-bifunctors 5.6.3-44
haskell-character-ps 0.1-1
haskell-colour 2.3.7-61
haskell-comonad 5.0.10-32
haskell-contravariant 1.5.6-1
haskell-data-fix 0.3.4-238
haskell-diff 1.0-14
haskell-distributive 0.6.3-45
haskell-dlist 1.0-461
haskell-erf 2.0.0.0-27
haskell-fgl 5.8.3.1-23
haskell-generically 0.1.1-135
haskell-hashable 1.4.7.0-117
haskell-indexed-traversable 0.1.5-1
haskell-indexed-traversable-instances 0.1.2.1-35
haskell-integer-conversion 0.1.1-101
haskell-integer-logarithms 1.0.4-238
haskell-network-uri 2.6.4.2-181
haskell-onetuple 0.4.3-16
haskell-optparse-applicative 0.18.1.0-426
haskell-os-string 2.0.11-43
haskell-prettyprinter 1.7.2-18
haskell-prettyprinter-ansi-terminal 1.1.4-91
haskell-primitive 0.9.1.0-207
haskell-quickcheck 2.15.0.1-229
haskell-random 1.2.1.3-316
haskell-regex-base 0.94.0.3-3
haskell-regex-tdfa 1.3.2.6-6
haskell-scientific 0.3.8.1-122
haskell-semialign 1.3.1.1-29
haskell-semigroupoids 6.0.2-50
haskell-splitmix 0.1.3.1-24
haskell-statevar 1.2.2-5
haskell-strict 0.5.1-131
haskell-tagged 0.8.10-1
haskell-tasty 1.5.4-18
haskell-text-iso8601 0.1.1.2-3
haskell-text-short 0.1.6.1-78
haskell-th-abstraction 0.6.0.0-1
haskell-th-compat 0.1.7-44
haskell-these 1.2.1-341
haskell-time-compat 1.9.9-110
haskell-transformers-compat 0.7.2-4
haskell-unordered-containers 0.2.21-24
haskell-uuid-types 1.0.6.1-78
haskell-vector 0.13.2.0-536
haskell-vector-stream 0.1.0.1-4
haskell-witherable 0.5-6
hdf5 2.2.0-1
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hiredis 1.3.0-1
htop 3.5.3-1
httrack 3.49.12-1
hwdata 0.410-1
hwdetect 2025.08.16.1333-1
hwinfo 25.5-1
hwloc 2.14.0-1
hyphen 2.8.9-1
hypr-dynamic-cursors 0.49.9.r2972.gdc7b811-1
hyprcursor 0.1.13-7
hyprglass 0.49.9.r2972.gdc7b811-1
hyprgraphics 0.5.1-4
hypridle 0.1.8-1
hyprland 0.56.2-1
hyprland-guiutils 0.2.2-2
hyprland-preview-share-picker 0.2.1.r9.ge2f30ff-1
hyprland-qt-support 0.1.0-14
hyprlang 0.6.8-5
hyprlock 0.9.6-2
hyprmod 0.4.0-3
hyprpicker 0.4.7-3
hyprpolkitagent 0.1.3-10
hyprshade 5.0.0-1
hyprshutdown 0.1.1-6
hyprsunset 0.4.0-3
hyprtoolkit 0.5.4-4
hyprutils 0.14.1-1
hyprwayland-scanner 0.4.6-1
hyprwire 0.3.1-3
i2c-tools 4.4-4
iana-etc 20260617-1
icu 78.3-1
iftop 1.0pre4-6
imagemagick 7.1.2.30-1
imath 3.2.3-1
imgborders 0.49.9.r2972.gdc7b811-1
imlib2 1.12.7-3
inetutils 2.8-1
iniparser 4.2.6-2
inotify-tools 4.25.9.0-1
intel-gmmlib 22.10.0-1
intel-gpu-tools 2.5-1
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
inter-font 4.1-1
inxi 3.3.41.1-1
iotop 0.6-13
iperf3 3.21-1
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
iwd 3.12-1
jack2 1.9.22-2
jansson 2.15.1-1
jasper 4.2.9-1
jbig2dec 0.20-2
jbigkit 2.1-8
jemalloc 1:5.3.1-3
jq 1.8.2-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.6-3
karchive 6.29.0-1
kbd 2.10.0-1
kbookmarks 6.29.0-1
kcodecs 6.29.0-1
kcolorscheme 6.29.0-1
kcompletion 6.29.0-1
kconfig 6.29.0-1
kcoreaddons 6.29.0-1
kcrash 6.29.0-1
kdbusaddons 6.29.0-1
kernel-modules-hook 0.1.7-3
keyutils 1.6.3-4
kguiaddons 6.29.0-1
khal 0.14.1-1
ki18n 6.29.0-1
kiconthemes 6.29.0-1
kio 6.29.0-2
kio-admin 26.08.0-1
kitemviews 6.29.0-1
kitty 0.48.2-1
kitty-shell-integration 0.48.2-1
kitty-terminfo 0.48.2-1
kjobwidgets 6.29.0-1
kmod 34.2-1
knotifications 6.29.0-1
krb5 1.22.2-1
kservice 6.29.0-1
kwallet 6.29.0-1
kwidgetsaddons 6.29.0-1
kwindowsystem 6.29.0-1
l-smash 2.14.5-4
lame 4.0-1
lapack 3.12.1-2
lazygit 0.64.1-1
lcms2 2.19.1-1
ldb 2:4.24.6-1
leancrypto 1.8.0-1
leptonica 1.87.0-1
less 1:704-1
lib32-brotli 1.2.0-2
lib32-bzip2 1.0.8-4
lib32-curl 8.21.0-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.3-1
lib32-gcc-libs 16.2.1+r23+gd564253eb6c8-1
lib32-glibc 2.44+r24+g16be1518495f-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-icu 78.3-1
lib32-json-c 0.19-1
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.134-1
lib32-libelf 0.196-2
lib32-libffi 3.8.0-1
lib32-libgcrypt 1.12.3-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.13-1
lib32-libnghttp2 1.70.0-1
lib32-libnghttp3 1.18.0-1
lib32-libngtcp2 1.25.0-1
lib32-libpciaccess 0.19-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-5
lib32-libtasn1 4.21.0-1
lib32-libunistring 1.4.2-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxml2 2.15.3-1
lib32-libxshmfence 1.3.3-1
lib32-libxxf86vm 1.1.7-1
lib32-llvm-libs 1:22.1.8-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:26.2.1-1
lib32-ncurses 6.6-2
lib32-nettle 4.0-2
lib32-nvidia-utils 610.57.04-1
lib32-opencl-nvidia 610.57.04-1
lib32-openssl 1:3.6.4-1
lib32-p11-kit 0.26.5-1
lib32-spirv-tools 1:1.4.357.0-1
lib32-systemd 261.2-1
lib32-vulkan-icd-loader 1.4.357.0-1
lib32-vulkan-intel 1:26.2.1-1
lib32-vulkan-mesa-implicit-layers 1:26.2.1-1
lib32-wayland 1.26.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.3-1
lib32-zlib 1.3.2-1
lib32-zstd 1.5.7-2
libadwaita 1:1.9.3-1
libaec 1.1.7-1
libaemu 0.1.2-5
libaio 0.3.113-5
libao 1.2.2-7
libarchive 3.8.9-1
libasan 16.2.1+r23+gd564253eb6c8-1
libass 0.17.5-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.2.1+r23+gd564253eb6c8-1
libavc1394 0.5.4-7
libavif 1.4.2-1
libavtp 0.2.0-3
libayatana-appindicator 0.6.0-2
libayatana-indicator 0.9.5-1
libb2 0.98.1-3
libblake3 1.8.7-1
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.5.0-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcaca 0.99.beta20-7
libcacard 2.8.1-1
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.5-1
libcava 1.0.0-1
libcbor 0.14.0-1
libcdio 2.4.0-1
libcdio-paranoia 10.2+2.0.2-3
libcgif 0.5.3-1
